municipio,codigo,populacao,receita_total,op_credito,alienacao_bens,amortizacao_divida,outras_receitas_capital,juros_encargos_divida,prpc,prpcapita_max3k,eq1_prpcapita
Prefeitura Municipal de Alto Alegre dos Parecis - RO,1100379,13993,40617964.31,0,0,751462.12,0,36482.61,2846.4246,2846.4246,5.755167
Prefeitura Municipal de Alto Paraíso - RO,1100403,20569,43635786.55,0,264930,123945.8,0,321798.69,2086.8838,2086.8838,4.544291
Prefeitura Municipal de Buritis - RO,1100452,38450,86293745.45,462733.01,0,1402351.84,0,804287,2174.8862,2174.8862,4.684586
Prefeitura Municipal de Novo Horizonte do Oeste - RO,1100502,10161,29946656.98,0,0,1065481.08,0,0,2842.3557,2842.3557,5.7486801
Prefeitura Municipal de Cacaulândia - RO,1100601,6460,26378589.2,0,312050,487627.09,0,19496.66,3956.5659,3000,6
Prefeitura Municipal de Campo Novo de Rondônia - RO,1100700,14354,49106432.97,0,0,840217.1800000001,0,89763.97,3356.3086,3000,6
Prefeitura Municipal de Candeias do Jamari - RO,1100809,24719,55616811.71,0,0,795812.71,0,0,2217.7676,2217.7676,4.7529483
Prefeitura Municipal de Castanheiras - RO,1100908,3550,20747486.44,0,0,407370.03,0,19799.14,5724.0332,3000,6
Prefeitura Municipal de Chupinguaia - RO,1100924,10364,44652502.99,0,61600,139820.41,0,22497.35,4286.8184,3000,6
Prefeitura Municipal de Cujubim - RO,1100940,21720,54828613.54,0,273800,589775.42,0,80000,2480.895,2480.895,5.1724319
Prefeitura Municipal de Governador Jorge Teixeira - RO,1101005,9745,33679416.53,0,0,816385.23,0,0,3372.2966,3000,6
Prefeitura Municipal de Itapuã do Oeste - RO,1101104,10155,36646658.97,0,325900,112617.7,0,0,3565.5481,3000,6
Prefeitura Municipal de Ministro Andreazza - RO,1101203,10786,29481859.11,0,0,80000,0,1303.02,2725.8071,2725.8071,5.5628757
Prefeitura Municipal de Mirante da Serra - RO,1101302,12308,32611205.17,0,0,126954.55,0,4000,2638.9543,2638.9543,5.4244132
Prefeitura Municipal de Monte Negro - RO,1101401,16032,45867830.11,0,0,680299.65,0,0,2818.5835,2818.5835,5.7107821
Prefeitura Municipal de Nova União - RO,1101435,7796,25309800.31,0,0,33904.92,0,111979.45,3227.7983,3000,6
Prefeitura Municipal de Parecis - RO,1101450,5802,22069252.03,0,0,190114.59,0,6136.74,3769.907,3000,6
Prefeitura Municipal de Pimenteiras do Oeste - RO,1101468,2417,23750595.36,0,0,22776.27,0,0,9817.0537,3000,6
Prefeitura Municipal de Primavera de Rondônia - RO,1101476,3456,18810399.46,0,0,0,0,0,5442.8237,3000,6
Prefeitura Municipal de São Felipe D'Oeste - RO,1101484,6048,22247012.46,0,0,0,0,0,3678.4082,3000,6
Prefeitura Municipal de São Francisco do Guaporé - RO,1101492,19694,65969867.51,0,99600,1197427.66,0,0,3283.8855,3000,6
Prefeitura Municipal de Seringueiras - RO,1101500,12617,44937655.89,0,0,565009.1800000001,0,0,3516.8936,3000,6
Prefeitura Municipal de Teixeirópolis - RO,1101559,4966,19836925.46,0,0,0,0,0,3994.5481,3000,6
Prefeitura Municipal de Theobroma - RO,1101609,11350,38659181.63,0,0,502627.22,0,0,3361.811,3000,6
Prefeitura Municipal de Urupá - RO,1101708,13198,34951137.32,0,0,189656.89,0,0,2633.8445,2633.8445,5.4162669
Prefeitura Municipal de Vale do Anari - RO,1101757,10999,32337555.06,0,149600,178343.01,0,2545.99,2909.9978,2909.9978,5.8565164
Prefeitura Municipal de Vale do Paraíso - RO,1101807,8138,28982827.82,0,0,75259.95,0,17687.43,3549.9976,3000,6
Prefeitura Municipal de Acrelândia - AC,1200013,14120,32378652.63,0,0,260797.25,0,0,2274.6357,2274.6357,4.8436089
Prefeitura Municipal de Assis Brasil - AC,1200054,6863,23251521.01,0,0,192556.26,0,0,3359.8958,3000,6
Prefeitura Municipal de Brasiléia - AC,1200104,24311,59912178.24,0,0,821001.33,0,0,2430.6355,2430.6355,5.0923071
Prefeitura Municipal de Bujari - AC,1200138,9503,24256871.72,0,0,197613.09,0,200000.88,2510.708,2510.708,5.2199602
Prefeitura Municipal de Capixaba - AC,1200179,10820,27531744.85,0,0,722680.58,0,0,2477.7324,2477.7324,5.1673899
Prefeitura Municipal de Cruzeiro do Sul - AC,1200203,82075,172409098.32,0,146800,2902895.52,0,324445.87,2059.5183,2059.5183,4.5006642
Prefeitura Municipal de Epitaciolândia - AC,1200252,17038,37809783.43,0,0,1147376.39,0,15362.36,2150.9006,2150.9006,4.646348
Prefeitura Municipal de Jordão - AC,1200328,7685,27459813.53,0,0,273476.56,0,0,3537.5845,3000,6
Prefeitura Municipal de Mâncio Lima - AC,1200336,17545,45112329.26,0,0,312186.01,0,21966.85,2552.1902,2552.1902,5.2860923
Prefeitura Municipal de Manoel Urbano - AC,1200344,8765,31646603.01,0,0,1319036.74,0,29026.64,3456.7644,3000,6
Prefeitura Municipal de Marechal Thaumaturgo - AC,1200351,17401,50771486.58,0,0,912407.72,0,0,2865.2996,2865.2996,5.7852578
Prefeitura Municipal de Rio Branco - AC,1200401,377057,1045004492.88,41992026.37,0,11338906.75,0,9795469.960000001,2604.0574,2604.0574,5.3687797
Prefeitura Municipal de Rodrigues Alves - AC,1200427,17464,41759495.75,0,24750,407213.61,0,25700.75,2364.9697,2364.9697,4.9876213
Prefeitura Municipal de Senador Guiomard - AC,1200450,21369,48272240.66,0,0,706083.73,0,33028.49,2224.3965,2224.3965,4.7635164
Prefeitura Municipal de Sena Madureira - AC,1200500,42451,65821319.96,0,0,825277.1899999999,0,84843.5,1529.0853,1529.0853,3.6550367
Prefeitura Municipal de Tarauacá - AC,1200609,39427,71373196.40000001,0,0,1879307.23,0,0,1762.5964,1762.5964,4.0273051
Prefeitura Municipal de Xapuri - AC,1200708,17894,40554859.79,0,0,531550.55,0,0,2236.6887,2236.6887,4.783113
Prefeitura Municipal de Porto Acre - AC,1200807,17111,33044623.89,0,0,582148.95,0,29279.1,1895.4589,1895.4589,4.2391171
Prefeitura Municipal de Alvarães - AM,1300029,15729,46411293.89,0,0,0,0,0,2950.6831,2950.6831,5.9213781
Prefeitura Municipal de Amaturá - AM,1300060,11047,32928113.07,0,0,24858.43,0,3082.15,2978.1997,2978.1997,5.9652457
Prefeitura Municipal de Anamã - AM,1300086,12653,35285242.12,0,0,49991.79,0,0,2784.7349,2784.7349,5.6568198
Prefeitura Municipal de Anori - AM,1300102,19749,35197155.51,0,0,652988.65,0,0,1749.1603,1749.1603,4.0058846
Prefeitura Municipal de Apuí - AM,1300144,21031,45381907.67,0,0,636704.83,0,0,2127.5833,2127.5833,4.6091747
Prefeitura Municipal de Atalaia do Norte - AM,1300201,18599,51661909.84,0,0,1335067.83,0,4069.39,2705.6709,2705.6709,5.5307741
Prefeitura Municipal de Autazes - AM,1300300,37752,92966157.41,0,0,386997.61,0,125778.5,2448.9666,2448.9666,5.121531
Prefeitura Municipal de Barcelos - AM,1300409,27589,47504817.52,0,0,0,0,0,1721.8752,1721.8752,3.9623864
Prefeitura Municipal de Barreirinha - AM,1300508,31105,86044978.64,0,0,383849.08,0,82015.39999999999,2751.2976,2751.2976,5.6035132
Prefeitura Municipal de Benjamin Constant - AM,1300607,40417,101959200.5,0,0,878560.1,0,7000,2500.7705,2500.7705,5.2041178
Prefeitura Municipal de Beruri - AM,1300631,18579,54101929.73,0,0,322680.31,0,1750.02,2894.5315,2894.5315,5.8318601
Prefeitura Municipal de Boa Vista do Ramos - AM,1300680,18080,49340282.52,0,0,836736.04,0,22078.39,2681.4971,2681.4971,5.4922357
Prefeitura Municipal de Boca do Acre - AM,1300706,33840,71671505.87,0,0,681029.05,0,0,2097.8274,2097.8274,4.5617375
Prefeitura Municipal de Borba - AM,1300805,39885,90175837.79000001,0,0,1363954.35,0,425.59,2226.6882,2226.6882,4.76717
Prefeitura Municipal de Caapiranga - AM,1300839,12622,22923837.11,0,0,0,0,0,1816.181,1816.181,4.112731
Prefeitura Municipal de Canutama - AM,1300904,15312,44028817.91,0,0,131991.15,0,0,2866.8252,2866.8252,5.7876897
Prefeitura Municipal de Carauari - AM,1301001,28337,77005205.01000001,0,0,917372.77,0,1713.64,2685.0449,2685.0449,5.4978919
Prefeitura Municipal de Careiro - AM,1301100,36922,86285592.06,0,0,168796,0,0,2332.3979,2332.3979,4.9356947
Prefeitura Municipal de Careiro da Várzea - AM,1301159,28592,50671177.22,0,0,364207.94,0,21629.25,1758.7206,1758.7206,4.0211263
Prefeitura Municipal de Coari - AM,1301209,83929,311111874.84,0,0,2999713.88,0,32715.1,3670.7151,3000,6
Prefeitura Municipal de Codajás - AM,1301308,27303,40711239.46,0,0,652340.95,0,121116.2,1462.7617,1462.7617,3.5493021
Prefeitura Municipal de Eirunepé - AM,1301407,34461,83813586.34,0,0,670515.86,0,0,2412.6714,2412.6714,5.0636683
Prefeitura Municipal de Envira - AM,1301506,19143,46883926.04,0,0,121310.94,0,14464.65,2442.0493,2442.0493,5.1105032
Prefeitura Municipal de Fonte Boa - AM,1301605,20199,63104421.37,0,0,461873.86,0,0,3101.2698,3000,6
Prefeitura Municipal de Guajará - AM,1301654,16339,39936537.4,0,0,475535.96,0,0,2415.1418,2415.1418,5.0676069
Prefeitura Municipal de Humaitá - AM,1301704,52354,119839159.92,0,282440,717898.98,0,0,2269.9092,2269.9092,4.8360739
Prefeitura Municipal de Ipixuna - AM,1301803,28299,47847868.42,0,0,348928.14,0,13380.31,1677.9943,1677.9943,3.8924305
Prefeitura Municipal de Iranduba - AM,1301852,46703,121392682.22,0,0,0,0,0,2599.248,2599.248,5.3611126
Prefeitura Municipal de Itacoatiara - AM,1301902,98503,238493021.01,0,0,6151975.48,0,407080.56,2354.5879,2354.5879,4.9710703
Prefeitura Municipal de Itamarati - AM,1301951,8153,18021170.86,0,0,472868.93,0,12363.85,2150.8572,2150.8572,4.6462784
Prefeitura Municipal de Itapiranga - AM,1302009,9040,16673443.66,0,0,363183.22,0,101669.37,1792.9857,1792.9857,4.0757523
Prefeitura Municipal de Japurá - AM,1302108,4660,38567685.79,0,0,375373.34,0,5853.42,8194.5195,3000,6
Prefeitura Municipal de Juruá - AM,1302207,13581,41987457.76,0,0,746932.55,0,0,3036.634,3000,6
Prefeitura Municipal de Jutaí - AM,1302306,16200,52485630.58,0,0,419468.9,0,0,3213.9607,3000,6
Prefeitura Municipal de Lábrea - AM,1302405,44071,90580539.69,0,0,152384.78,0,17.95,2051.874,2051.874,4.4884777
Prefeitura Municipal de Manacapuru - AM,1302504,95330,197658463.62,0,0,1684238.57,0,0,2055.7456,2055.7456,4.4946499
Prefeitura Municipal de Manaquiri - AM,1302553,29327,62246130.78,0,0,890341.13,0,6263.29,2091.9128,2091.9128,4.5523081
Prefeitura Municipal de Manaus - AM,1302603,2094391,5494876967.51,185128353.05,139822.81,91490460.20999999,0,57847861.85,2463.8525,2463.8525,5.1452622
Prefeitura Municipal de Manicoré - AM,1302702,53890,99439963.14,0,0,0,0,0,1845.2396,1845.2396,4.1590567
Prefeitura Municipal de Maraã - AM,1302801,18477,57470489.61,0,0,981308.64,0,0,3057.2703,3000,6
Prefeitura Municipal de Maués - AM,1302900,61110,159339001.59,0,0,1392414.19,0,80715.98,2583.3066,2583.3066,5.3356986
Prefeitura Municipal de Nhamundá - AM,1303007,20633,50737541.5,0,0,30325.1,0,0,2457.5784,2457.5784,5.1352601
Prefeitura Municipal de Nova Olinda do Norte - AM,1303106,35800,32432602.56,0,0,361832.37,0,0,895.83154,895.83154,2.6454902
Prefeitura Municipal de Novo Airão - AM,1303205,18133,43934802.25,0,0,898799.3100000001,0,19501.35,2372.2771,2372.2771,4.9992709
Prefeitura Municipal de Novo Aripuanã - AM,1303304,24718,46865258.64,0,0,600994.61,0,571395.76,1848.5665,1848.5665,4.1643605
Prefeitura Municipal de Parintins - AM,1303403,112716,223247427.52,0,113325,3674786.52,0,1604505.47,1932.7762,1932.7762,4.2986093
Prefeitura Municipal de Pauini - AM,1303502,19488,45296675.92,0,0,310386.37,0,0,2308.4097,2308.4097,4.8974519
Prefeitura Municipal de Presidente Figueiredo - AM,1303536,33703,216560297.26,0,0,3288355.8,0,97357.28,6325.0923,3000,6
Prefeitura Municipal de Rio Preto da Eva - AM,1303569,31274,86823292.72,0,0,200840.68,0,6173.26,2769.594,2769.594,5.6326818
Prefeitura Municipal de Santa Isabel do Rio Negro - AM,1303601,23092,46889571.75,0,0,532887.17,0,0,2007.4781,2007.4781,4.4177008
Prefeitura Municipal de Santo Antônio do Içá - AM,1303700,23378,67490287.23,0,0,625828,0,2297.18,2860.0464,2860.0464,5.7768831
Prefeitura Municipal de São Gabriel da Cachoeira - AM,1303809,43831,93593499.12,0,0,1477928.31,0,106671.96,2099.1741,2099.1741,4.5638843
Prefeitura Municipal de São Paulo de Olivença - AM,1303908,37300,78230094.45999999,0,0,247662.88,0,24315.98,2090.03,2090.03,4.5493064
Prefeitura Municipal de São Sebastião do Uatumã - AM,1303957,13105,31431912.1,0,0,259913.37,0,20551.41,2377.0659,2377.0659,5.0069051
Prefeitura Municipal de Silves - AM,1304005,9147,29793249.18,0,0,136611.97,0,49715.29,3236.7905,3000,6
Prefeitura Municipal de Tabatinga - AM,1304062,62346,125030758.52,0,0,979771.03,0,260.88,1989.7142,1989.7142,4.3893809
Prefeitura Municipal de Tapauá - AM,1304104,18039,52975574.85,0,0,59332.7,0,4705.08,2933.1746,2933.1746,5.8934655
Prefeitura Municipal de Tefé - AM,1304203,62230,167344666.56,0,0,2634035.32,0,49067.85,2646.0159,2646.0159,5.4356709
Prefeitura Municipal de Tonantins - AM,1304237,18632,51860537.15,0,0,414653.28,0,0,2761.1575,2761.1575,5.6192322
Prefeitura Municipal de Uarini - AM,1304260,13276,39452130.4,0,0,325371.75,0,0,2947.1797,2947.1797,5.9157929
Prefeitura Municipal de Urucará - AM,1304302,17065,53860634.54,0,0,433215.77,0,31831.33,3128.9534,3000,6
Prefeitura Municipal de Urucurituba - AM,1304401,21650,57204958.26,0,0,317627.31,0,0,2627.5903,2627.5903,5.4062967
Prefeitura Municipal de Amajari - RR,1400027,11285,24591978.89,0,0,649688.1899999999,0,0,2121.603,2121.603,4.5996408
Prefeitura Municipal de Alto Alegre - RR,1400050,16053,29755302.53,0,0,700250.21,0,0,1809.9453,1809.9453,4.1027894
Prefeitura Municipal de Boa Vista - RR,1400100,326419,1390860171.64,6563020.99,737503,9590362.49,0,6094111.15,4190.5503,3000,6
Prefeitura Municipal de Bonfim - RR,1400159,11843,48889372.41,0,1745600,788218.7,0,0,3914.1733,3000,6
Prefeitura Municipal de Cantá - RR,1400175,16516,39621480.97,0,0,476003.8,0,0,2370.1548,2370.1548,4.9958873
Prefeitura Municipal de Caracaraí - RR,1400209,20537,52933991.67,0,0,1017730.09,0,0,2527.938,2527.938,5.2474289
Prefeitura Municipal de Caroebe - RR,1400233,9331,32376658.47,0,0,458335.02,0,0,3420.6755,3000,6
Prefeitura Municipal de Iracema - RR,1400282,10592,26572340.01,0,0,389747.46,0,0,2471.9214,2471.9214,5.1581259
Prefeitura Municipal de Mucajaí - RR,1400308,16618,44104557.5,0,0,1388324.2,0,0,2570.4797,2570.4797,5.3152499
Prefeitura Municipal de Normandia - RR,1400407,10339,32183047.24,0,0,686923.22,0,0,3046.3413,3000,6
Prefeitura Municipal de Pacaraima - RR,1400456,12144,15896349.01,0,0,271059.2,0,0,1286.6675,1286.6675,3.268569
Prefeitura Municipal de Rorainópolis - RR,1400472,27756,67727914.73999999,0,0,1079293.02,0,0,2401.2329,2401.2329,5.045433
Prefeitura Municipal de São João da Baliza - RR,1400506,7629,20332611.09,0,0,0,0,371260.73,2616.5095,2616.5095,5.3886313
Prefeitura Municipal de São Luiz - RR,1400605,7503,21539404.18,0,0,294774.16,1239925,0,2666.2275,2666.2275,5.4678926
Prefeitura Municipal de Uiramutã - RR,1400704,9664,10366445.56,0,0,223060.71,0,25000,1047.0183,1047.0183,2.8865151
Prefeitura Municipal de Abaetetuba - PA,1500107,151934,269042074.15,0,0,3980606.52,0,0,1744.583,1744.583,3.9985876
Prefeitura Municipal de Abel Figueiredo - PA,1500131,7179,24819112.47,0,0,0,0,0,3457.1824,3000,6
Prefeitura Municipal de Acará - PA,1500206,54080,131660277.5,0,0,1969533.65,0,0,2398.1277,2398.1277,5.0404825
Prefeitura Municipal de Afuá - PA,1500305,37778,99732363.15000001,0,0,607219,0,41161.68,2622.7959,2622.7959,5.398653
Prefeitura Municipal de Água Azul do Norte - PA,1500347,26497,60332271.88,0,0,692847.23,0,0,2250.7991,2250.7991,4.8056078
Prefeitura Municipal de Alenquer - PA,1500404,54960,104634212.86,0,0,1088998.01,0,0,1884.0105,1884.0105,4.2208657
Prefeitura Municipal de Almeirim - PA,1500503,33282,109713833.6,0,0,222129.32,0,69948.50999999999,3287.7158,3000,6
Prefeitura Municipal de Anajás - PA,1500701,28012,71314219.91,0,0,1155270.84,0,0,2504.6033,2504.6033,5.210228
Prefeitura Municipal de Ananindeua - PA,1500800,510834,742500503.59,0,0,13988917.24,0,910497.83,1424.3396,1424.3396,3.4880488
Prefeitura Municipal de Anapu - PA,1500859,26271,91915070.48999999,0,0,779395.65,0,0,3469.0601,3000,6
Prefeitura Municipal de Augusto Corrêa - PA,1500909,44227,102270698.49,0,0,1775767.68,0,0,2272.2529,2272.2529,4.8398104
Prefeitura Municipal de Aurora do Pará - PA,1500958,29991,58517899.8,0,0,0,0,0,1951.182,1951.182,4.3279524
Prefeitura Municipal de Aveiro - PA,1501006,15950,38926339.57,0,0,1785979.9,0,0,2328.5493,2328.5493,4.9295592
Prefeitura Municipal de Bagre - PA,1501105,29065,55189593.12,0,0,377739.17,0,0,1885.837,1885.837,4.2237778
Prefeitura Municipal de Baião - PA,1501204,44956,87451397.23999999,0,0,2381544.01,0,0,1892.2914,1892.2914,4.2340674
Prefeitura Municipal de Bannach - PA,1501253,3233,23968462.66,0,0,110156.69,0,0,7379.6182,3000,6
Prefeitura Municipal de Barcarena - PA,1501303,118537,421866596.62,0,0,0,0,140403.97,3557.76,3000,6
Prefeitura Municipal de Belém - PA,1501402,1446042,3165242581.51,102282734.84,2527712,91671218.01000001,0,58420211.1,2012.6252,2012.6252,4.4259062
Prefeitura Municipal de Belterra - PA,1501451,17145,42475954.42,0,0,0,0,0,2477.4543,2477.4543,5.1669469
Prefeitura Municipal de Benevides - PA,1501501,59836,131722626.72,0,0,0,0,75795.77,2200.1274,2200.1274,4.7248263
Prefeitura Municipal de Bom Jesus do Tocantins - PA,1501576,16375,39356480.31,0,0,0,0,0,2403.4492,2403.4492,5.0489659
Prefeitura Municipal de Bonito - PA,1501600,15563,32725042.64,0,0,0,0,0,2102.7463,2102.7463,4.5695791
Prefeitura Municipal de Bragança - PA,1501709,122881,193349376.37,0,0,1380749.29,0,64272.82,1561.709,1561.709,3.707046
Prefeitura Municipal de Brasil Novo - PA,1501725,14834,50941568.5,0,4251.93,666558.54,0,187475.64,3376.2493,3000,6
Prefeitura Municipal de Brejo Grande do Araguaia - PA,1501758,7206,26250613.94,0,0,332410.59,0,8171.14,3595.6191,3000,6
Prefeitura Municipal de Breu Branco - PA,1501782,62737,123728320.71,0,0,897167.27,0,2923.8,1957.8276,1957.8276,4.3385468
Prefeitura Municipal de Breves - PA,1501808,99080,218251346.72,0,0,2405076.67,0,0,2178.5049,2178.5049,4.6903553
Prefeitura Municipal de Bujaru - PA,1501907,28016,58028973.95,0,331.03,1106574.72,0,21664.96,2030.9967,2030.9967,4.4551945
Prefeitura Municipal de Cachoeira do Piriá - PA,1501956,32139,67960967.69,0,0,652641.58,0,0,2094.2881,2094.2881,4.5560951
Prefeitura Municipal de Cachoeira do Arari - PA,1502004,22786,43900377.01,0,0,486510.06,0,0,1905.2869,1905.2869,4.2547851
Prefeitura Municipal de Cametá - PA,1502103,132515,244488647.52,0,0,4160100.62,0,43279.89,1813.2684,1813.2684,4.1080875
Prefeitura Municipal de Canaã dos Carajás - PA,1502152,36027,367777530.23,0,0,8173219.63,0,0,9981.5225,3000,6
Prefeitura Municipal de Capanema - PA,1502202,66759,142249811.66,0,0,1736624.87,0,0,2104.7827,2104.7827,4.5728254
Prefeitura Municipal de Capitão Poço - PA,1502301,52768,97720642.76000001,0,0,731412.14,0,44716.95,1837.1838,1837.1838,4.146214
Prefeitura Municipal de Castanhal - PA,1502400,192571,420618002.44,0,0,10184583.24,0,0,2131.3354,2131.3354,4.6151567
Prefeitura Municipal de Chaves - PA,1502509,22821,55056450.76,0,0,945676.66,0,0,2371.0957,2371.0957,4.9973874
Prefeitura Municipal de Colares - PA,1502608,11721,25422158.46,0,0,30620.81,0,521653.4,2121.8228,2121.8228,4.5999913
Prefeitura Municipal de Conceição do Araguaia - PA,1502707,46485,107530725.62,0,0,1810305.26,0,0,2274.291,2274.291,4.8430595
Prefeitura Municipal de Concórdia do Pará - PA,1502756,31884,83574257.14,0,0,1221026.08,0,0,2582.9014,2582.9014,5.3350525
Prefeitura Municipal de Cumaru do Norte - PA,1502764,12765,43428485.99,0,0,306015.51,0,0,3378.1802,3000,6
Prefeitura Municipal de Curionópolis - PA,1502772,17578,90079659.01000001,0,0,2035747.82,0,0,5008.7559,3000,6
Prefeitura Municipal de Curralinho - PA,1502806,32881,77026065.98,0,0,691623.33,0,0,2321.5366,2321.5366,4.9183793
Prefeitura Municipal de Curuá - PA,1502855,13783,36303860.87,0,0,347187.1,0,185218.23,2595.3315,2595.3315,5.3548689
Prefeitura Municipal de Curuçá - PA,1502905,38391,73091197.70999999,0,71550,737695.05,0,0,1882.7838,1882.7838,4.2189102
Prefeitura Municipal de Dom Eliseu - PA,1502939,57251,120645750.13,0,0,3051872.69,0,36137.1,2053.3745,2053.3745,4.4908695
Prefeitura Municipal de Eldorado do Carajás - PA,1502954,32780,73402975.34,0,0,1867713.94,0,0,2182.2837,2182.2837,4.6963792
Prefeitura Municipal de Floresta do Araguaia - PA,1503044,19508,52223683.26,0,0,521505.89,0,28121.51,2648.865,2648.865,5.4402132
Prefeitura Municipal de Garrafão do Norte - PA,1503077,25345,62777936.45,0,0,715450.4,0,3963.78,2448.5508,2448.5508,5.1208682
Prefeitura Municipal de Goianésia do Pará - PA,1503093,38677,90698311.77,0,0,541798.66,0,0,2331.011,2331.011,4.9334836
Prefeitura Municipal de Gurupá - PA,1503101,32049,84902510.43000001,0,0,675802.64,0,0,2628.0603,2628.0603,5.4070458
Prefeitura Municipal de Igarapé-Açu - PA,1503200,37547,64014806.82,0,0,643877.48,0,0,1687.7761,1687.7761,3.908025
Prefeitura Municipal de Igarapé-Miri - PA,1503309,60675,123708468.53,0,0,1971458.56,0,0,2006.3784,2006.3784,4.4159474
Prefeitura Municipal de Inhangapi - PA,1503408,11224,31358225.6,0,0,429012.07,0,0,2755.6321,2755.6321,5.6104236
Prefeitura Municipal de Ipixuna do Pará - PA,1503457,60433,110188671.32,0,0,250727.99,0,0,1819.1707,1819.1707,4.117497
Prefeitura Municipal de Irituia - PA,1503507,31664,57293655.49,0,0,591659.7,0,0,1790.7401,1790.7401,4.0721722
Prefeitura Municipal de Itaituba - PA,1503606,98485,269188209.15,0,0,5069580,0,0,2681.8159,2681.8159,5.492744
Prefeitura Municipal de Itupiranga - PA,1503705,51806,112048958.91,0,0,2444721.55,0,132226.27,2113.1145,2113.1145,4.5861082
Prefeitura Municipal de Jacareacanga - PA,1503754,41487,84899936.67,0,0,541173.03,0,0,2033.3783,2033.3783,4.4589911
Prefeitura Municipal de Jacundá - PA,1503804,56781,146755117.02,0,0,0,0,0,2584.5813,2584.5813,5.3377309
Prefeitura Municipal de Juruti - PA,1503903,55179,152736010.28,0,0,4044685.8,0,0,2694.7085,2694.7085,5.513298
Prefeitura Municipal de Limoeiro do Ajuru - PA,1504000,27760,59640049.54,0,0,711365.66,0,20865.06,2122.0396,2122.0396,4.600337
Prefeitura Municipal de Mãe do Rio - PA,1504059,29112,77019694.41,0,0,1272784.48,0,0,2601.9136,2601.9136,5.3653622
